,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282,283,284,285,286,287,288,289
0,1085,3783,2016-02-01,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1086,3784,2016-02-02,0,1,0,0,0,0,0,0,0,101,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1087,3785,2016-02-03,0,3,0,0,0,0,0,0,0,268,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1088,3786,2016-02-04,0,1,0,0,0,0,0,0,0,10,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1089,3787,2016-02-05,0,3,0,0,0,0,0,0,0,33,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1090,3788,2016-02-06,0,1,0,0,0,0,0,0,0,16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1091,3789,2016-02-07,0,0,0,0,0,0,0,0,0,41,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1092,3790,2016-02-08,0,1,0,0,0,0,0,0,0,24,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1093,3791,2016-02-09,0,0,0,0,1,0,0,0,0,45,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1094,3792,2016-02-10,0,0,0,0,10,0,0,0,0,22,8,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
1,1086,3784,2016-02-02,0,1,0,0,0,0,0,0,0,101,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1087,3785,2016-02-03,0,3,0,0,0,0,0,0,0,268,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1088,3786,2016-02-04,0,1,0,0,0,0,0,0,0,10,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1089,3787,2016-02-05,0,3,0,0,0,0,0,0,0,33,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1090,3788,2016-02-06,0,1,0,0,0,0,0,0,0,16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1091,3789,2016-02-07,0,0,0,0,0,0,0,0,0,41,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1092,3790,2016-02-08,0,1,0,0,0,0,0,0,0,24,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1093,3791,2016-02-09,0,0,0,0,1,0,0,0,0,45,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1094,3792,2016-02-10,0,0,0,0,10,0,0,0,0,22,8,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1095,3793,2016-02-11,0,0,0,0,1,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1087,3785,2016-02-03,0,3,0,0,0,0,0,0,0,268,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1088,3786,2016-02-04,0,1,0,0,0,0,0,0,0,10,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1089,3787,2016-02-05,0,3,0,0,0,0,0,0,0,33,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1090,3788,2016-02-06,0,1,0,0,0,0,0,0,0,16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1091,3789,2016-02-07,0,0,0,0,0,0,0,0,0,41,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1092,3790,2016-02-08,0,1,0,0,0,0,0,0,0,24,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1093,3791,2016-02-09,0,0,0,0,1,0,0,0,0,45,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1094,3792,2016-02-10,0,0,0,0,10,0,0,0,0,22,8,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1095,3793,2016-02-11,0,0,0,0,1,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1096,3794,2016-02-12,0,0,0,0,3,0,0,0,0,1,8,0,2,0,0,0,0,0,0,1,1,0,0,0,1,0
3,1088,3786,2016-02-04,0,1,0,0,0,0,0,0,0,10,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1089,3787,2016-02-05,0,3,0,0,0,0,0,0,0,33,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1090,3788,2016-02-06,0,1,0,0,0,0,0,0,0,16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1091,3789,2016-02-07,0,0,0,0,0,0,0,0,0,41,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1092,3790,2016-02-08,0,1,0,0,0,0,0,0,0,24,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1093,3791,2016-02-09,0,0,0,0,1,0,0,0,0,45,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1094,3792,2016-02-10,0,0,0,0,10,0,0,0,0,22,8,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1095,3793,2016-02-11,0,0,0,0,1,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1096,3794,2016-02-12,0,0,0,0,3,0,0,0,0,1,8,0,2,0,0,0,0,0,0,1,1,0,0,0,1,0,1097,3795,2016-02-13,0,0,0,0,1,0,0,0,0,12,185,0,0,0,0,0,0,0,0,3,0,0,0,0,5,0
4,1089,3787,2016-02-05,0,3,0,0,0,0,0,0,0,33,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1090,3788,2016-02-06,0,1,0,0,0,0,0,0,0,16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1091,3789,2016-02-07,0,0,0,0,0,0,0,0,0,41,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1092,3790,2016-02-08,0,1,0,0,0,0,0,0,0,24,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1093,3791,2016-02-09,0,0,0,0,1,0,0,0,0,45,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1094,3792,2016-02-10,0,0,0,0,10,0,0,0,0,22,8,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1095,3793,2016-02-11,0,0,0,0,1,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1096,3794,2016-02-12,0,0,0,0,3,0,0,0,0,1,8,0,2,0,0,0,0,0,0,1,1,0,0,0,1,0,1097,3795,2016-02-13,0,0,0,0,1,0,0,0,0,12,185,0,0,0,0,0,0,0,0,3,0,0,0,0,5,0,1098,3796,2016-02-14,0,19,0,0,33,0,0,0,0,41,960,0,68,0,0,0,0,0,0,5,1,0,0,0,49,0
5,1090,3788,2016-02-06,0,1,0,0,0,0,0,0,0,16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1091,3789,2016-02-07,0,0,0,0,0,0,0,0,0,41,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1092,3790,2016-02-08,0,1,0,0,0,0,0,0,0,24,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1093,3791,2016-02-09,0,0,0,0,1,0,0,0,0,45,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1094,3792,2016-02-10,0,0,0,0,10,0,0,0,0,22,8,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1095,3793,2016-02-11,0,0,0,0,1,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1096,3794,2016-02-12,0,0,0,0,3,0,0,0,0,1,8,0,2,0,0,0,0,0,0,1,1,0,0,0,1,0,1097,3795,2016-02-13,0,0,0,0,1,0,0,0,0,12,185,0,0,0,0,0,0,0,0,3,0,0,0,0,5,0,1098,3796,2016-02-14,0,19,0,0,33,0,0,0,0,41,960,0,68,0,0,0,0,0,0,5,1,0,0,0,49,0,1099,3797,2016-02-15,0,29,0,0,59,0,0,0,0,29,172,0,82,0,0,0,0,0,0,3,0,0,0,0,31,0
6,1091,3789,2016-02-07,0,0,0,0,0,0,0,0,0,41,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1092,3790,2016-02-08,0,1,0,0,0,0,0,0,0,24,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1093,3791,2016-02-09,0,0,0,0,1,0,0,0,0,45,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1094,3792,2016-02-10,0,0,0,0,10,0,0,0,0,22,8,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1095,3793,2016-02-11,0,0,0,0,1,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1096,3794,2016-02-12,0,0,0,0,3,0,0,0,0,1,8,0,2,0,0,0,0,0,0,1,1,0,0,0,1,0,1097,3795,2016-02-13,0,0,0,0,1,0,0,0,0,12,185,0,0,0,0,0,0,0,0,3,0,0,0,0,5,0,1098,3796,2016-02-14,0,19,0,0,33,0,0,0,0,41,960,0,68,0,0,0,0,0,0,5,1,0,0,0,49,0,1099,3797,2016-02-15,0,29,0,0,59,0,0,0,0,29,172,0,82,0,0,0,0,0,0,3,0,0,0,0,31,0,1100,3798,2016-02-16,0,10,0,0,14,0,0,0,0,30,151,0,26,0,0,0,0,0,0,25,0,0,0,0,16,0
7,1092,3790,2016-02-08,0,1,0,0,0,0,0,0,0,24,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1093,3791,2016-02-09,0,0,0,0,1,0,0,0,0,45,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1094,3792,2016-02-10,0,0,0,0,10,0,0,0,0,22,8,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1095,3793,2016-02-11,0,0,0,0,1,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1096,3794,2016-02-12,0,0,0,0,3,0,0,0,0,1,8,0,2,0,0,0,0,0,0,1,1,0,0,0,1,0,1097,3795,2016-02-13,0,0,0,0,1,0,0,0,0,12,185,0,0,0,0,0,0,0,0,3,0,0,0,0,5,0,1098,3796,2016-02-14,0,19,0,0,33,0,0,0,0,41,960,0,68,0,0,0,0,0,0,5,1,0,0,0,49,0,1099,3797,2016-02-15,0,29,0,0,59,0,0,0,0,29,172,0,82,0,0,0,0,0,0,3,0,0,0,0,31,0,1100,3798,2016-02-16,0,10,0,0,14,0,0,0,0,30,151,0,26,0,0,0,0,0,0,25,0,0,0,0,16,0,1101,3799,2016-02-17,0,5,0,0,7,0,0,0,0,20,51,0,18,0,0,0,0,0,0,14,0,0,0,0,10,0
8,1093,3791,2016-02-09,0,0,0,0,1,0,0,0,0,45,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1094,3792,2016-02-10,0,0,0,0,10,0,0,0,0,22,8,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1095,3793,2016-02-11,0,0,0,0,1,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1096,3794,2016-02-12,0,0,0,0,3,0,0,0,0,1,8,0,2,0,0,0,0,0,0,1,1,0,0,0,1,0,1097,3795,2016-02-13,0,0,0,0,1,0,0,0,0,12,185,0,0,0,0,0,0,0,0,3,0,0,0,0,5,0,1098,3796,2016-02-14,0,19,0,0,33,0,0,0,0,41,960,0,68,0,0,0,0,0,0,5,1,0,0,0,49,0,1099,3797,2016-02-15,0,29,0,0,59,0,0,0,0,29,172,0,82,0,0,0,0,0,0,3,0,0,0,0,31,0,1100,3798,2016-02-16,0,10,0,0,14,0,0,0,0,30,151,0,26,0,0,0,0,0,0,25,0,0,0,0,16,0,1101,3799,2016-02-17,0,5,0,0,7,0,0,0,0,20,51,0,18,0,0,0,0,0,0,14,0,0,0,0,10,0,1102,3800,2016-02-18,0,4,0,0,1,0,1,0,0,5,3,0,5,0,0,0,0,0,0,9,0,0,0,0,0,0
9,1094,3792,2016-02-10,0,0,0,0,10,0,0,0,0,22,8,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1095,3793,2016-02-11,0,0,0,0,1,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1096,3794,2016-02-12,0,0,0,0,3,0,0,0,0,1,8,0,2,0,0,0,0,0,0,1,1,0,0,0,1,0,1097,3795,2016-02-13,0,0,0,0,1,0,0,0,0,12,185,0,0,0,0,0,0,0,0,3,0,0,0,0,5,0,1098,3796,2016-02-14,0,19,0,0,33,0,0,0,0,41,960,0,68,0,0,0,0,0,0,5,1,0,0,0,49,0,1099,3797,2016-02-15,0,29,0,0,59,0,0,0,0,29,172,0,82,0,0,0,0,0,0,3,0,0,0,0,31,0,1100,3798,2016-02-16,0,10,0,0,14,0,0,0,0,30,151,0,26,0,0,0,0,0,0,25,0,0,0,0,16,0,1101,3799,2016-02-17,0,5,0,0,7,0,0,0,0,20,51,0,18,0,0,0,0,0,0,14,0,0,0,0,10,0,1102,3800,2016-02-18,0,4,0,0,1,0,1,0,0,5,3,0,5,0,0,0,0,0,0,9,0,0,0,0,0,0,1103,3801,2016-02-19,0,1,0,0,1,0,0,0,0,0,4,0,2,0,0,0,0,0,0,10,0,0,0,0,0,0
