,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282,283,284,285,286,287,288,289
0,1358,4812,2016-02-01,0,3,0,0,0,0,0,0,0,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1359,4813,2016-02-02,0,3,0,0,0,0,0,0,0,29,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1360,4814,2016-02-03,2,22,0,0,0,0,0,0,0,80,51,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1361,4815,2016-02-04,0,1,0,0,0,0,0,0,0,5,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1362,4816,2016-02-05,0,9,0,0,0,0,0,0,0,11,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1363,4817,2016-02-06,0,2,0,0,0,0,0,0,0,12,11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1364,4818,2016-02-07,1,7,0,0,0,0,0,0,0,24,16,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1365,4819,2016-02-08,0,1,0,0,0,0,0,0,0,14,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1366,4820,2016-02-09,1,11,0,0,0,0,0,0,0,17,60,0,17,0,0,1,0,0,0,0,0,0,0,0,1,0,1367,4821,2016-02-10,0,28,0,0,0,0,0,0,0,72,1325,0,49,0,0,7,0,0,0,0,0,0,0,0,9,0
1,1359,4813,2016-02-02,0,3,0,0,0,0,0,0,0,29,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1360,4814,2016-02-03,2,22,0,0,0,0,0,0,0,80,51,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1361,4815,2016-02-04,0,1,0,0,0,0,0,0,0,5,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1362,4816,2016-02-05,0,9,0,0,0,0,0,0,0,11,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1363,4817,2016-02-06,0,2,0,0,0,0,0,0,0,12,11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1364,4818,2016-02-07,1,7,0,0,0,0,0,0,0,24,16,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1365,4819,2016-02-08,0,1,0,0,0,0,0,0,0,14,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1366,4820,2016-02-09,1,11,0,0,0,0,0,0,0,17,60,0,17,0,0,1,0,0,0,0,0,0,0,0,1,0,1367,4821,2016-02-10,0,28,0,0,0,0,0,0,0,72,1325,0,49,0,0,7,0,0,0,0,0,0,0,0,9,0,1368,4822,2016-02-11,0,8,0,0,0,0,0,0,0,2,10,0,66,0,0,0,0,0,0,0,0,0,0,0,6,0
2,1360,4814,2016-02-03,2,22,0,0,0,0,0,0,0,80,51,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1361,4815,2016-02-04,0,1,0,0,0,0,0,0,0,5,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1362,4816,2016-02-05,0,9,0,0,0,0,0,0,0,11,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1363,4817,2016-02-06,0,2,0,0,0,0,0,0,0,12,11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1364,4818,2016-02-07,1,7,0,0,0,0,0,0,0,24,16,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1365,4819,2016-02-08,0,1,0,0,0,0,0,0,0,14,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1366,4820,2016-02-09,1,11,0,0,0,0,0,0,0,17,60,0,17,0,0,1,0,0,0,0,0,0,0,0,1,0,1367,4821,2016-02-10,0,28,0,0,0,0,0,0,0,72,1325,0,49,0,0,7,0,0,0,0,0,0,0,0,9,0,1368,4822,2016-02-11,0,8,0,0,0,0,0,0,0,2,10,0,66,0,0,0,0,0,0,0,0,0,0,0,6,0,1369,4823,2016-02-12,1,32,0,0,2,0,1,0,0,11,15,0,69,0,0,0,0,0,0,2,0,0,0,0,7,0
3,1361,4815,2016-02-04,0,1,0,0,0,0,0,0,0,5,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1362,4816,2016-02-05,0,9,0,0,0,0,0,0,0,11,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1363,4817,2016-02-06,0,2,0,0,0,0,0,0,0,12,11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1364,4818,2016-02-07,1,7,0,0,0,0,0,0,0,24,16,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1365,4819,2016-02-08,0,1,0,0,0,0,0,0,0,14,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1366,4820,2016-02-09,1,11,0,0,0,0,0,0,0,17,60,0,17,0,0,1,0,0,0,0,0,0,0,0,1,0,1367,4821,2016-02-10,0,28,0,0,0,0,0,0,0,72,1325,0,49,0,0,7,0,0,0,0,0,0,0,0,9,0,1368,4822,2016-02-11,0,8,0,0,0,0,0,0,0,2,10,0,66,0,0,0,0,0,0,0,0,0,0,0,6,0,1369,4823,2016-02-12,1,32,0,0,2,0,1,0,0,11,15,0,69,0,0,0,0,0,0,2,0,0,0,0,7,0,1370,4824,2016-02-13,0,18,0,0,1,0,1,0,0,7,33,0,41,0,0,0,0,0,0,6,0,0,0,0,1,0
4,1362,4816,2016-02-05,0,9,0,0,0,0,0,0,0,11,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1363,4817,2016-02-06,0,2,0,0,0,0,0,0,0,12,11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1364,4818,2016-02-07,1,7,0,0,0,0,0,0,0,24,16,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1365,4819,2016-02-08,0,1,0,0,0,0,0,0,0,14,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1366,4820,2016-02-09,1,11,0,0,0,0,0,0,0,17,60,0,17,0,0,1,0,0,0,0,0,0,0,0,1,0,1367,4821,2016-02-10,0,28,0,0,0,0,0,0,0,72,1325,0,49,0,0,7,0,0,0,0,0,0,0,0,9,0,1368,4822,2016-02-11,0,8,0,0,0,0,0,0,0,2,10,0,66,0,0,0,0,0,0,0,0,0,0,0,6,0,1369,4823,2016-02-12,1,32,0,0,2,0,1,0,0,11,15,0,69,0,0,0,0,0,0,2,0,0,0,0,7,0,1370,4824,2016-02-13,0,18,0,0,1,0,1,0,0,7,33,0,41,0,0,0,0,0,0,6,0,0,0,0,1,0,1371,4825,2016-02-14,3,125,0,0,1,0,1,0,0,38,376,0,131,0,0,0,0,0,0,7,0,0,0,0,20,0
5,1363,4817,2016-02-06,0,2,0,0,0,0,0,0,0,12,11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1364,4818,2016-02-07,1,7,0,0,0,0,0,0,0,24,16,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1365,4819,2016-02-08,0,1,0,0,0,0,0,0,0,14,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1366,4820,2016-02-09,1,11,0,0,0,0,0,0,0,17,60,0,17,0,0,1,0,0,0,0,0,0,0,0,1,0,1367,4821,2016-02-10,0,28,0,0,0,0,0,0,0,72,1325,0,49,0,0,7,0,0,0,0,0,0,0,0,9,0,1368,4822,2016-02-11,0,8,0,0,0,0,0,0,0,2,10,0,66,0,0,0,0,0,0,0,0,0,0,0,6,0,1369,4823,2016-02-12,1,32,0,0,2,0,1,0,0,11,15,0,69,0,0,0,0,0,0,2,0,0,0,0,7,0,1370,4824,2016-02-13,0,18,0,0,1,0,1,0,0,7,33,0,41,0,0,0,0,0,0,6,0,0,0,0,1,0,1371,4825,2016-02-14,3,125,0,0,1,0,1,0,0,38,376,0,131,0,0,0,0,0,0,7,0,0,0,0,20,0,1372,4826,2016-02-15,0,110,0,0,0,0,4,0,0,38,557,0,150,0,0,0,0,0,0,7,0,0,0,0,51,0
6,1364,4818,2016-02-07,1,7,0,0,0,0,0,0,0,24,16,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1365,4819,2016-02-08,0,1,0,0,0,0,0,0,0,14,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1366,4820,2016-02-09,1,11,0,0,0,0,0,0,0,17,60,0,17,0,0,1,0,0,0,0,0,0,0,0,1,0,1367,4821,2016-02-10,0,28,0,0,0,0,0,0,0,72,1325,0,49,0,0,7,0,0,0,0,0,0,0,0,9,0,1368,4822,2016-02-11,0,8,0,0,0,0,0,0,0,2,10,0,66,0,0,0,0,0,0,0,0,0,0,0,6,0,1369,4823,2016-02-12,1,32,0,0,2,0,1,0,0,11,15,0,69,0,0,0,0,0,0,2,0,0,0,0,7,0,1370,4824,2016-02-13,0,18,0,0,1,0,1,0,0,7,33,0,41,0,0,0,0,0,0,6,0,0,0,0,1,0,1371,4825,2016-02-14,3,125,0,0,1,0,1,0,0,38,376,0,131,0,0,0,0,0,0,7,0,0,0,0,20,0,1372,4826,2016-02-15,0,110,0,0,0,0,4,0,0,38,557,0,150,0,0,0,0,0,0,7,0,0,0,0,51,0,1373,4827,2016-02-16,0,22,0,0,0,0,0,0,0,9,42,0,25,0,0,1,0,0,0,3,0,0,0,0,2,0
7,1365,4819,2016-02-08,0,1,0,0,0,0,0,0,0,14,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1366,4820,2016-02-09,1,11,0,0,0,0,0,0,0,17,60,0,17,0,0,1,0,0,0,0,0,0,0,0,1,0,1367,4821,2016-02-10,0,28,0,0,0,0,0,0,0,72,1325,0,49,0,0,7,0,0,0,0,0,0,0,0,9,0,1368,4822,2016-02-11,0,8,0,0,0,0,0,0,0,2,10,0,66,0,0,0,0,0,0,0,0,0,0,0,6,0,1369,4823,2016-02-12,1,32,0,0,2,0,1,0,0,11,15,0,69,0,0,0,0,0,0,2,0,0,0,0,7,0,1370,4824,2016-02-13,0,18,0,0,1,0,1,0,0,7,33,0,41,0,0,0,0,0,0,6,0,0,0,0,1,0,1371,4825,2016-02-14,3,125,0,0,1,0,1,0,0,38,376,0,131,0,0,0,0,0,0,7,0,0,0,0,20,0,1372,4826,2016-02-15,0,110,0,0,0,0,4,0,0,38,557,0,150,0,0,0,0,0,0,7,0,0,0,0,51,0,1373,4827,2016-02-16,0,22,0,0,0,0,0,0,0,9,42,0,25,0,0,1,0,0,0,3,0,0,0,0,2,0,1374,4828,2016-02-17,0,119,0,0,1,0,1,0,0,10,129,0,91,0,0,0,0,0,0,9,0,0,0,0,102,0
8,1366,4820,2016-02-09,1,11,0,0,0,0,0,0,0,17,60,0,17,0,0,1,0,0,0,0,0,0,0,0,1,0,1367,4821,2016-02-10,0,28,0,0,0,0,0,0,0,72,1325,0,49,0,0,7,0,0,0,0,0,0,0,0,9,0,1368,4822,2016-02-11,0,8,0,0,0,0,0,0,0,2,10,0,66,0,0,0,0,0,0,0,0,0,0,0,6,0,1369,4823,2016-02-12,1,32,0,0,2,0,1,0,0,11,15,0,69,0,0,0,0,0,0,2,0,0,0,0,7,0,1370,4824,2016-02-13,0,18,0,0,1,0,1,0,0,7,33,0,41,0,0,0,0,0,0,6,0,0,0,0,1,0,1371,4825,2016-02-14,3,125,0,0,1,0,1,0,0,38,376,0,131,0,0,0,0,0,0,7,0,0,0,0,20,0,1372,4826,2016-02-15,0,110,0,0,0,0,4,0,0,38,557,0,150,0,0,0,0,0,0,7,0,0,0,0,51,0,1373,4827,2016-02-16,0,22,0,0,0,0,0,0,0,9,42,0,25,0,0,1,0,0,0,3,0,0,0,0,2,0,1374,4828,2016-02-17,0,119,0,0,1,0,1,0,0,10,129,0,91,0,0,0,0,0,0,9,0,0,0,0,102,0,1375,4829,2016-02-18,1,33,0,0,0,0,0,0,0,5,20,0,40,0,0,0,0,0,0,3,0,0,0,0,47,0
9,1367,4821,2016-02-10,0,28,0,0,0,0,0,0,0,72,1325,0,49,0,0,7,0,0,0,0,0,0,0,0,9,0,1368,4822,2016-02-11,0,8,0,0,0,0,0,0,0,2,10,0,66,0,0,0,0,0,0,0,0,0,0,0,6,0,1369,4823,2016-02-12,1,32,0,0,2,0,1,0,0,11,15,0,69,0,0,0,0,0,0,2,0,0,0,0,7,0,1370,4824,2016-02-13,0,18,0,0,1,0,1,0,0,7,33,0,41,0,0,0,0,0,0,6,0,0,0,0,1,0,1371,4825,2016-02-14,3,125,0,0,1,0,1,0,0,38,376,0,131,0,0,0,0,0,0,7,0,0,0,0,20,0,1372,4826,2016-02-15,0,110,0,0,0,0,4,0,0,38,557,0,150,0,0,0,0,0,0,7,0,0,0,0,51,0,1373,4827,2016-02-16,0,22,0,0,0,0,0,0,0,9,42,0,25,0,0,1,0,0,0,3,0,0,0,0,2,0,1374,4828,2016-02-17,0,119,0,0,1,0,1,0,0,10,129,0,91,0,0,0,0,0,0,9,0,0,0,0,102,0,1375,4829,2016-02-18,1,33,0,0,0,0,0,0,0,5,20,0,40,0,0,0,0,0,0,3,0,0,0,0,47,0,1376,4830,2016-02-19,0,14,0,0,0,0,0,0,0,1,7,0,10,0,0,0,0,0,0,1,0,0,1,0,5,0
