date,ACER,ALNUS,AMBROSIA,ARTEMISIA,BETULA,CANNABACEAE,CARPINUS,CELTIS,CHENOP/AMAR.,CORYLUS,CUPRESS/TAXA.,FAGUS,FRAXINUS,JUGLANS,MORACEAE,PINACEAE,PLANTAGO,PLATANUS,POACEAE,POPULUS,QUERCUS,RUMEX,SALIX,TILIA,ULMACEAE,URTICACEAE,tavg,wdir,wspd,pres
02-02,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7.857777777777779,187.75,11.78,1013.6575
02-03,0,1,0,0,0,0,0,0,0,38,6,0,1,0,0,0,0,0,0,0,0,0,0,0,8,0,8.338636363636363,219.57575757575756,11.986486486486486,1013.4410256410256
02-04,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6.125,226.52941176470588,11.052631578947368,1015.6108108108108
02-05,0,2,0,0,0,0,0,0,0,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4.931818181818182,247.48387096774192,11.327027027027027,1017.5305555555556
02-06,0,0,0,0,0,0,0,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4.597619047619047,206.1,11.508333333333333,1020.2060606060606
02-07,3,0,0,0,0,0,0,0,0,43,0,0,5,0,0,1,0,0,0,0,0,0,0,0,10,0,5.155813953488372,194.22857142857143,16.13421052631579,1015.7571428571429
02-08,6,1,0,0,0,0,0,0,0,61,31,0,12,0,0,2,0,0,0,0,0,0,0,0,71,0,4.46,201.11428571428573,13.425641025641026,1017.9925
02-09,0,2,0,0,0,0,0,0,0,14,79,0,20,0,0,0,0,0,0,1,0,0,0,0,49,0,5.028888888888889,173.11428571428573,9.094871794871795,1020.8027777777778
02-10,0,0,0,0,1,0,0,0,0,16,15,0,29,0,0,0,0,0,0,5,0,0,0,0,28,0,5.568181818181818,144.22222222222223,12.11578947368421,1015.4459459459459
02-11,0,0,0,0,7,0,0,0,0,3,19,0,20,0,0,0,0,0,0,6,0,0,1,0,15,0,4.452272727272727,215.90322580645162,12.00810810810811,1014.064864864865
02-12,0,6,0,0,0,0,0,0,0,19,39,0,54,0,0,0,0,0,0,0,0,0,0,0,19,0,2.2888888888888888,249.58823529411765,12.28,1023.5147058823529
02-13,3,3,0,0,7,0,0,0,0,4,16,0,69,0,0,6,0,0,0,18,0,0,0,0,71,0,1.7355555555555555,191.14705882352942,12.07948717948718,1024.4486486486487
02-14,7,0,0,0,2,0,0,0,0,3,153,0,78,0,0,2,0,0,0,56,0,0,0,0,97,0,2.972727272727273,220.40625,10.51842105263158,1022.9324324324324
02-15,0,63,0,0,1,0,0,0,0,40,210,0,99,0,0,1,0,0,0,0,0,0,0,0,76,0,4.322727272727272,248.125,9.928947368421053,1025.9194444444445
02-16,0,7,0,0,0,0,0,0,0,4,8,0,5,0,0,0,0,0,0,13,0,0,0,0,1,0,4.042222222222223,185.61290322580646,6.947368421052632,1027.4722222222222
02-17,0,5,0,0,1,0,0,0,0,7,18,0,6,0,0,0,0,0,0,99,0,0,0,0,21,0,5.664444444444444,168.2258064516129,9.239473684210527,1021.8513513513514
02-18,5,0,0,0,1,0,0,0,0,0,34,0,29,0,0,0,0,0,0,117,0,0,0,0,24,0,5.952272727272727,239.23529411764707,10.218421052631578,1021.3888888888889
02-19,0,1,0,0,0,0,0,0,0,2,2,0,8,0,0,0,0,0,0,51,0,0,0,0,54,0,5.454761904761905,167.41379310344828,9.602857142857143,1020.9454545454545
02-20,1,6,0,0,0,0,0,0,0,4,2,0,1,0,0,1,0,0,0,36,0,0,0,0,59,0,4.690697674418605,210.96428571428572,9.563636363636364,1022.3382352941177
02-21,17,7,0,0,0,0,0,0,0,10,57,0,2,0,0,0,0,0,0,160,0,0,3,0,141,0,5.490909090909091,185.5483870967742,9.860526315789473,1020.6657142857143
02-22,2,0,0,0,0,0,4,0,0,4,134,0,0,0,0,2,0,0,0,115,0,0,4,0,41,0,6.16,230.06060606060606,11.1525,1020.546153846154
02-23,1,0,0,0,0,0,2,0,0,2,43,0,3,0,0,1,0,0,0,87,0,0,2,0,28,0,5.7555555555555555,189.06060606060606,10.299999999999999,1023.2717948717948
02-24,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,4.7155555555555555,220.3030303030303,9.807692307692308,1024.386842105263
02-25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,4.433333333333334,202.77142857142857,9.927499999999998,1022.8794871794872
02-26,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,5.004545454545454,168.3030303030303,9.719444444444443,1018.9027027027028
02-27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4.308888888888889,203.54545454545453,10.792105263157895,1018.5459459459458
02-28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,4.431111111111111,212.0857142857143,12.526315789473685,1020.6388888888889
02-29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,7.891666666666667,152.0,19.080000000000002,1017.675
03-01,6,0,0,0,2,0,0,0,0,0,6,0,1,0,0,0,0,0,0,16,0,0,5,0,5,0,5.348888888888888,222.80555555555554,10.8375,1019.2605263157895
03-02,2,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,0,0,0,0,4,0,6.0227272727272725,245.8181818181818,10.917948717948718,1017.1264705882354
03-03,26,0,0,0,1,0,7,0,0,0,4,0,3,0,0,0,0,0,0,31,2,0,4,0,2,0,7.131818181818182,211.96969696969697,9.386842105263158,1014.9882352941177
03-04,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,26,1,0,0,0,0,0,6.854545454545455,229.5,11.194871794871796,1012.5294117647059
03-05,52,0,0,0,0,0,23,0,0,0,15,0,8,0,0,0,0,0,0,62,2,0,3,0,3,0,7.319999999999999,184.86111111111111,11.102500000000001,1013.1128205128206
03-06,63,0,0,0,0,0,9,0,0,0,20,0,1,0,0,0,0,0,0,49,0,0,0,0,1,0,6.746666666666667,156.56756756756758,13.867500000000001,1012.6674999999999
