,Unnamed: 0_x,location,date,ACER,ALNUS,AMBROSIA,ARTEMISIA,BETULA,CANNABACEAE,CARPINUS,CELTIS,CHENOP/AMAR.,CORYLUS,CUPRESS/TAXA.,FAGUS,FRAXINUS,JUGLANS,MORACEAE,PINACEAE,PLANTAGO,PLATANUS,POACEAE,POPULUS,QUERCUS,RUMEX,SALIX,TILIA,ULMACEAE,URTICACEAE,Unnamed: 0.1,Unnamed: 0_y,tavg,tmin,tmax,prcp,wdir,wspd
0,265,БЕОГРАД - НОВИ БЕОГРАД,2016-02-02,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7703.0,7703.0,12.1,8.0,16.9,0.0,0.0,0.0
1,266,БЕОГРАД - НОВИ БЕОГРАД,2016-02-03,0,1,0,0,0,0,0,0,0,38,6,0,1,0,0,0,0,0,0,0,0,0,0,0,8,0,7704.0,7704.0,12.6,8.6,16.4,5.2,0.0,0.0
2,267,БЕОГРАД - НОВИ БЕОГРАД,2016-02-04,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7705.0,7705.0,4.5,3.4,15.0,0.5,0.0,0.0
3,268,БЕОГРАД - НОВИ БЕОГРАД,2016-02-05,0,2,0,0,0,0,0,0,0,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7706.0,7706.0,2.4,0.2,4.7,0.0,0.0,0.0
4,269,БЕОГРАД - НОВИ БЕОГРАД,2016-02-06,0,0,0,0,0,0,0,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,7707.0,7707.0,4.4,-0.5,10.5,0.0,0.0,0.0
5,270,БЕОГРАД - НОВИ БЕОГРАД,2016-02-07,3,0,0,0,0,0,0,0,0,43,0,0,5,0,0,1,0,0,0,0,0,0,0,0,10,0,7708.0,7708.0,7.4,3.0,13.4,0.0,0.0,0.0
6,271,БЕОГРАД - НОВИ БЕОГРАД,2016-02-08,6,1,0,0,0,0,0,0,0,61,31,0,12,0,0,2,0,0,0,0,0,0,0,0,71,0,7709.0,7709.0,9.6,5.4,15.6,0.0,0.0,0.0
7,272,БЕОГРАД - НОВИ БЕОГРАД,2016-02-09,0,2,0,0,0,0,0,0,0,14,79,0,20,0,0,0,0,0,0,1,0,0,0,0,49,0,7710.0,7710.0,14.0,9.6,19.4,0.0,0.0,0.0
8,273,БЕОГРАД - НОВИ БЕОГРАД,2016-02-10,0,0,0,0,1,0,0,0,0,16,15,0,29,0,0,0,0,0,0,5,0,0,0,0,28,0,7711.0,7711.0,9.6,6.1,15.6,2.8,0.0,0.0
9,274,БЕОГРАД - НОВИ БЕОГРАД,2016-02-11,0,0,0,0,7,0,0,0,0,3,19,0,20,0,0,0,0,0,0,6,0,0,1,0,15,0,7712.0,7712.0,7.0,2.9,12.6,0.0,0.0,0.0
10,275,БЕОГРАД - НОВИ БЕОГРАД,2016-02-12,0,6,0,0,0,0,0,0,0,19,39,0,54,0,0,0,0,0,0,0,0,0,0,0,19,0,7713.0,7713.0,7.7,4.5,12.9,0.2,0.0,0.0
11,276,БЕОГРАД - НОВИ БЕОГРАД,2016-02-13,3,3,0,0,7,0,0,0,0,4,16,0,69,0,0,6,0,0,0,18,0,0,0,0,71,0,7714.0,7714.0,8.1,6.0,13.4,3.9,0.0,0.0
12,277,БЕОГРАД - НОВИ БЕОГРАД,2016-02-14,7,0,0,0,2,0,0,0,0,3,153,0,78,0,0,2,0,0,0,56,0,0,0,0,97,0,7715.0,7715.0,12.9,4.8,19.9,0.0,0.0,0.0
13,278,БЕОГРАД - НОВИ БЕОГРАД,2016-02-15,0,63,0,0,1,0,0,0,0,40,210,0,99,0,0,1,0,0,0,0,0,0,0,0,76,0,7716.0,7716.0,14.5,11.4,21.2,7.3,0.0,0.0
14,279,БЕОГРАД - НОВИ БЕОГРАД,2016-02-16,0,7,0,0,0,0,0,0,0,4,8,0,5,0,0,0,0,0,0,13,0,0,0,0,1,0,7717.0,7717.0,9.2,7.7,11.4,0.0,0.0,0.0
15,280,БЕОГРАД - НОВИ БЕОГРАД,2016-02-17,0,5,0,0,1,0,0,0,0,7,18,0,6,0,0,0,0,0,0,99,0,0,0,0,21,0,7718.0,7718.0,10.7,7.8,14.8,0.0,0.0,0.0
16,281,БЕОГРАД - НОВИ БЕОГРАД,2016-02-18,5,0,0,0,1,0,0,0,0,0,34,0,29,0,0,0,0,0,0,117,0,0,0,0,24,0,7719.0,7719.0,8.7,7.1,11.4,3.3,0.0,0.0
17,282,БЕОГРАД - НОВИ БЕОГРАД,2016-02-19,0,1,0,0,0,0,0,0,0,2,2,0,8,0,0,0,0,0,0,51,0,0,0,0,54,0,7720.0,7720.0,7.3,6.3,10.8,0.9,0.0,0.0
18,283,БЕОГРАД - НОВИ БЕОГРАД,2016-02-20,1,6,0,0,0,0,0,0,0,4,2,0,1,0,0,1,0,0,0,36,0,0,0,0,59,0,7721.0,7721.0,6.2,4.9,8.9,0.0,0.0,0.0
19,284,БЕОГРАД - НОВИ БЕОГРАД,2016-02-21,17,7,0,0,0,0,0,0,0,10,57,0,2,0,0,0,0,0,0,160,0,0,3,0,141,0,7722.0,7722.0,8.3,3.9,12.4,0.2,0.0,0.0
20,285,БЕОГРАД - НОВИ БЕОГРАД,2016-02-22,2,0,0,0,0,0,4,0,0,4,134,0,0,0,0,2,0,0,0,115,0,0,4,0,41,0,7723.0,7723.0,13.3,6.0,20.9,0.1,0.0,0.0
21,286,БЕОГРАД - НОВИ БЕОГРАД,2016-02-23,1,0,0,0,0,0,2,0,0,2,43,0,3,0,0,1,0,0,0,87,0,0,2,0,28,0,7724.0,7724.0,14.0,12.0,16.4,4.2,0.0,0.0
