,Unnamed: 0,date,ACER,ALNUS,AMBROSIA,ARTEMISIA,BETULA,CANNABACEAE,CARPINUS,CELTIS,CHENOP/AMAR.,CORYLUS,CUPRESS/TAXA.,FAGUS,FRAXINUS,JUGLANS,MORACEAE,PINACEAE,PLANTAGO,PLATANUS,POACEAE,POPULUS,QUERCUS,RUMEX,SALIX,TILIA,ULMACEAE,URTICACEAE
0,265,2016-02-02,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1,266,2016-02-03,0,1,0,0,0,0,0,0,0,38,6,0,1,0,0,0,0,0,0,0,0,0,0,0,8,0
2,267,2016-02-04,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
3,268,2016-02-05,0,2,0,0,0,0,0,0,0,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
4,269,2016-02-06,0,0,0,0,0,0,0,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
5,270,2016-02-07,3,0,0,0,0,0,0,0,0,43,0,0,5,0,0,1,0,0,0,0,0,0,0,0,10,0
6,271,2016-02-08,6,1,0,0,0,0,0,0,0,61,31,0,12,0,0,2,0,0,0,0,0,0,0,0,71,0
7,272,2016-02-09,0,2,0,0,0,0,0,0,0,14,79,0,20,0,0,0,0,0,0,1,0,0,0,0,49,0
8,273,2016-02-10,0,0,0,0,1,0,0,0,0,16,15,0,29,0,0,0,0,0,0,5,0,0,0,0,28,0
9,274,2016-02-11,0,0,0,0,7,0,0,0,0,3,19,0,20,0,0,0,0,0,0,6,0,0,1,0,15,0
10,275,2016-02-12,0,6,0,0,0,0,0,0,0,19,39,0,54,0,0,0,0,0,0,0,0,0,0,0,19,0
11,276,2016-02-13,3,3,0,0,7,0,0,0,0,4,16,0,69,0,0,6,0,0,0,18,0,0,0,0,71,0
12,277,2016-02-14,7,0,0,0,2,0,0,0,0,3,153,0,78,0,0,2,0,0,0,56,0,0,0,0,97,0
13,278,2016-02-15,0,63,0,0,1,0,0,0,0,40,210,0,99,0,0,1,0,0,0,0,0,0,0,0,76,0
14,279,2016-02-16,0,7,0,0,0,0,0,0,0,4,8,0,5,0,0,0,0,0,0,13,0,0,0,0,1,0
15,280,2016-02-17,0,5,0,0,1,0,0,0,0,7,18,0,6,0,0,0,0,0,0,99,0,0,0,0,21,0
16,281,2016-02-18,5,0,0,0,1,0,0,0,0,0,34,0,29,0,0,0,0,0,0,117,0,0,0,0,24,0
17,282,2016-02-19,0,1,0,0,0,0,0,0,0,2,2,0,8,0,0,0,0,0,0,51,0,0,0,0,54,0
18,283,2016-02-20,1,6,0,0,0,0,0,0,0,4,2,0,1,0,0,1,0,0,0,36,0,0,0,0,59,0
19,284,2016-02-21,17,7,0,0,0,0,0,0,0,10,57,0,2,0,0,0,0,0,0,160,0,0,3,0,141,0
20,285,2016-02-22,2,0,0,0,0,0,4,0,0,4,134,0,0,0,0,2,0,0,0,115,0,0,4,0,41,0
21,286,2016-02-23,1,0,0,0,0,0,2,0,0,2,43,0,3,0,0,1,0,0,0,87,0,0,2,0,28,0
22,287,2016-02-24,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
23,288,2016-02-25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
24,289,2016-02-26,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
25,290,2016-02-27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
26,291,2016-02-28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
27,292,2016-02-29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0
28,293,2016-03-01,6,0,0,0,2,0,0,0,0,0,6,0,1,0,0,0,0,0,0,16,0,0,5,0,5,0
29,294,2016-03-02,2,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,0,0,0,0,4,0
30,295,2016-03-03,26,0,0,0,1,0,7,0,0,0,4,0,3,0,0,0,0,0,0,31,2,0,4,0,2,0
31,296,2016-03-04,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,26,1,0,0,0,0,0
32,297,2016-03-05,52,0,0,0,0,0,23,0,0,0,15,0,8,0,0,0,0,0,0,62,2,0,3,0,3,0
33,298,2016-03-06,63,0,0,0,0,0,9,0,0,0,20,0,1,0,0,0,0,0,0,49,0,0,0,0,1,0
34,299,2016-03-07,76,0,0,0,4,0,19,0,0,0,4,0,4,0,0,0,0,0,0,57,0,0,5,0,0,0
35,300,2016-03-08,4,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,15,0,0,0,0,0,0
36,301,2016-03-09,13,0,0,0,0,0,8,0,0,0,3,0,2,0,0,0,0,0,0,16,0,0,3,0,0,0
37,302,2016-03-10,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0
38,303,2016-03-11,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
39,304,2016-03-12,47,0,0,0,0,0,3,0,0,0,5,0,0,0,0,0,0,0,0,43,0,0,0,0,1,0
40,305,2016-03-13,25,0,0,0,0,0,6,0,0,0,0,0,1,0,0,0,0,0,0,7,0,0,2,0,1,0
41,306,2016-03-14,40,0,0,0,6,0,14,0,0,0,3,0,3,0,0,0,0,0,0,17,0,0,7,0,0,0
42,307,2016-03-15,6,0,0,0,2,0,5,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
43,308,2016-03-16,24,0,0,0,2,0,9,0,0,0,2,0,0,0,0,0,0,0,0,13,0,0,3,0,0,0
44,309,2016-03-17,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1,0,0,0
45,310,2016-03-18,6,0,0,0,1,0,19,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,2,0
46,311,2016-03-19,17,0,0,0,8,0,23,0,0,1,15,0,1,0,0,0,0,0,0,11,0,0,6,0,18,0
47,312,2016-03-20,19,0,0,0,11,0,45,0,0,5,19,0,0,0,0,0,0,0,0,6,0,0,16,0,1,0
48,313,2016-03-21,36,0,0,0,10,0,34,0,0,0,55,0,4,0,0,0,0,0,0,6,0,0,10,0,6,0
49,314,2016-03-22,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,315,2016-03-23,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
51,316,2016-03-24,49,0,0,0,9,0,21,0,0,0,1,0,3,0,0,0,0,0,0,6,0,0,7,0,3,0
52,317,2016-03-25,26,0,0,0,8,0,16,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,3,0,2,0
53,318,2016-03-26,14,2,0,0,5,0,12,0,0,23,1,0,3,0,0,0,0,0,0,2,0,0,4,0,0,0
54,319,2016-03-27,9,1,0,0,16,0,19,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,3,0,2,0
55,320,2016-03-28,13,0,0,0,25,0,26,0,0,0,2,0,0,0,0,0,0,0,0,4,0,0,2,0,2,0
56,321,2016-03-29,26,0,0,0,45,0,258,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,16,0,0,0
57,322,2016-03-30,19,0,0,0,58,0,201,0,0,0,0,0,11,0,0,0,0,0,0,3,0,0,0,0,1,0
58,323,2016-03-31,68,0,0,0,110,0,259,0,0,0,25,0,80,0,0,0,0,0,1,0,89,0,90,0,0,0
59,324,2016-04-01,133,0,0,0,169,0,295,0,0,0,35,0,251,0,0,0,0,0,0,0,201,0,156,0,0,0
60,325,2016-04-02,176,0,0,0,296,0,410,0,0,0,32,0,280,4,0,0,0,0,1,3,276,0,343,0,1,0
61,326,2016-04-03,137,0,0,0,189,0,394,0,0,0,0,0,132,8,0,0,0,0,0,0,102,0,103,0,0,0
62,327,2016-04-04,258,0,0,0,176,0,245,0,0,0,6,0,79,0,0,0,0,2,0,0,13,0,15,0,2,0
63,328,2016-04-05,134,0,0,0,70,0,192,0,0,0,5,6,31,0,21,1,0,2,0,2,216,0,3,0,0,0
64,329,2016-04-06,119,0,0,0,57,0,199,0,0,0,0,1,10,0,31,0,0,9,0,0,325,0,0,0,0,0
65,330,2016-04-07,107,0,0,0,109,0,186,0,0,0,7,13,87,58,68,0,0,100,0,2,276,0,162,0,0,0
66,331,2016-04-08,133,0,0,0,69,0,142,0,0,0,45,6,88,16,43,0,0,51,1,0,160,0,226,0,0,0
67,332,2016-04-09,32,0,0,0,33,0,34,0,0,0,26,1,19,1,11,0,0,10,0,0,19,0,51,0,0,2
68,333,2016-04-10,6,0,0,0,3,0,5,0,0,0,0,6,25,0,19,0,0,55,0,0,13,0,7,0,0,4
69,334,2016-04-11,34,0,0,0,11,0,43,0,0,0,12,5,38,5,29,0,0,23,2,0,54,0,44,0,1,1
70,335,2016-04-12,10,0,0,0,60,0,13,0,0,0,19,2,1,34,36,3,0,22,1,0,52,0,29,0,0,15
71,336,2016-04-13,105,0,0,0,145,0,89,0,0,0,1,7,1,28,107,0,0,22,1,0,140,0,4,0,0,8
72,337,2016-04-14,172,0,0,0,95,0,207,0,0,0,0,5,16,9,71,0,0,0,0,0,42,0,6,0,0,0
73,338,2016-04-15,13,0,0,0,26,0,4,0,0,0,0,3,7,8,33,0,0,9,0,0,6,0,14,0,0,5
74,339,2016-04-16,1,0,0,0,67,0,19,0,0,0,4,13,5,31,52,0,0,10,4,0,63,0,16,0,0,43
75,340,2016-04-17,6,0,0,0,101,0,18,0,0,0,0,36,3,15,243,2,0,14,9,0,50,0,19,0,0,28
76,341,2016-04-18,1,0,0,0,47,0,4,0,0,0,5,0,1,16,0,5,0,1,2,0,26,0,4,0,0,19
77,342,2016-04-19,0,0,0,0,20,0,6,0,0,0,4,0,1,16,0,3,0,17,3,0,0,0,13,0,0,8
78,343,2016-04-20,0,0,0,0,145,0,3,0,0,0,1,4,0,14,19,29,0,17,0,0,7,0,15,0,0,28
79,344,2016-04-21,0,0,0,0,25,0,4,0,0,0,1,0,0,1,8,4,0,6,0,0,1,0,5,1,0,3
80,345,2016-04-22,0,0,0,0,24,5,15,0,0,0,1,1,0,2,10,2,0,5,0,0,0,0,1,0,0,28
81,346,2016-04-23,9,0,0,0,41,7,37,0,0,0,2,4,0,2,31,0,0,0,3,0,2,0,3,0,0,0
82,347,2016-04-24,6,0,0,0,13,1,4,0,0,0,6,4,0,2,10,0,0,0,3,0,0,0,0,1,0,0
83,348,2016-04-25,2,0,0,0,2,0,6,0,0,0,0,1,0,2,1,0,0,0,0,0,2,0,0,0,0,0
84,349,2016-04-26,0,0,0,0,3,0,0,0,0,0,0,0,0,2,1,1,0,2,0,0,2,0,1,0,0,0
85,350,2016-04-27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0
86,351,2016-04-28,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,4
87,352,2016-04-29,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2
88,353,2016-04-30,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
89,354,2016-05-01,2,0,0,0,5,0,4,0,0,0,3,0,2,5,2,9,0,5,0,0,3,0,6,0,0,0
90,355,2016-05-02,0,0,0,0,3,0,1,0,0,0,1,1,0,3,8,1,0,4,6,0,1,0,2,0,0,2
91,356,2016-05-03,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
92,357,2016-05-04,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2,1,0,0,2,0,0,0,0,0,0,0
93,358,2016-05-05,0,0,0,0,7,0,0,0,0,0,0,0,0,0,3,11,1,0,29,0,0,0,2,0,0,6
94,359,2016-05-06,0,0,0,0,18,0,0,0,0,0,0,0,0,0,4,9,0,0,41,0,0,0,6,0,0,4
95,360,2016-05-07,0,0,0,0,129,1,0,0,0,0,0,1,0,1,0,2,0,0,31,0,2,0,2,0,0,4
96,361,2016-05-08,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,2,0,0,26,0,0,0,0,0,0,1
97,362,2016-05-09,1,0,0,0,22,4,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0
98,363,2016-05-10,0,0,0,0,1,2,0,0,0,0,0,0,0,4,2,0,0,0,6,0,0,1,0,0,0,2
99,364,2016-05-11,0,0,0,0,2,6,0,0,0,0,0,0,0,1,3,2,0,0,11,0,0,2,1,0,0,17
100,365,2016-05-12,0,0,0,0,1,3,0,0,0,0,0,0,0,0,1,0,0,0,10,0,0,0,0,0,0,1
101,366,2016-05-13,0,0,0,0,1,5,0,0,0,0,0,1,0,0,1,23,0,0,23,0,0,2,2,0,0,17
102,367,2016-05-14,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,12,0,0,10,0,1,3,0,0,0,0
103,368,2016-05-15,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,20,0,0,1,0,0,1,4,1,0,19
104,369,2016-05-16,6,0,0,0,2,0,0,0,0,0,1,0,0,3,3,1,0,0,5,0,4,0,0,1,0,6
105,370,2016-05-17,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,2
106,371,2016-05-18,0,0,0,0,4,0,1,0,0,0,1,1,0,0,0,4,1,0,24,0,6,0,3,0,0,6
107,372,2016-05-19,2,0,0,0,2,1,1,0,0,0,1,0,0,1,0,6,0,0,62,0,4,0,1,0,0,18
108,373,2016-05-20,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,8,1,0,43,0,0,0,0,1,0,14
109,374,2016-05-21,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,12,0,0,52,0,0,1,0,1,0,32
110,375,2016-05-22,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,10,1,0,82,0,0,6,0,4,0,41
111,376,2016-05-23,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,14,2,0,65,0,0,4,0,1,0,56
112,377,2016-05-24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,4,0,63,0,0,5,0,21,0,33
113,378,2016-05-25,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,43,1,0,6,0,0,1,0,7,0,16
114,379,2016-05-26,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,20,1,0,7,0,0,0,0,1,0,28
115,380,2016-05-27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,5,0,48,0,0,2,0,4,0,117
116,381,2016-05-28,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7,9,0,19,0,0,4,0,3,0,159
117,382,2016-05-29,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,46,15,0,33,0,0,4,0,15,0,128
118,383,2016-05-30,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,72,4,0,80,0,0,0,0,38,0,32
119,384,2016-05-31,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,48,0,0,0,0,15,0,19
120,385,2016-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,0,11,0,0,0,0,1,0,45
121,386,2016-06-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,2,0,27
122,387,2016-06-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,25,0,0,0,0,0,0,13
123,388,2016-06-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,36
124,389,2016-06-05,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7,0,0,0,0,24,0,26
125,390,2016-06-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,31,0,0,0,0,22,0,28
126,391,2016-06-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,9,0,0,0,0,8,0,15
127,392,2016-06-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,1,0,1,0,21
128,393,2016-06-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,13,0,0,2,0,17,0,59
129,394,2016-06-10,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,2,26,0,0,0,0,19,0,40
130,395,2016-06-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,6,22,0,0,0,0,82,0,43
131,396,2016-06-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,9,14,0,0,2,0,34,0,118
132,397,2016-06-13,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,21,17,0,0,0,0,60,0,31
133,398,2016-06-14,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,8,0,13,0,0,1,0,45,0,47
134,399,2016-06-15,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,23,0,0,0,0,37,0,36
135,400,2016-06-16,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,12,31,0,36,0,0,0,0,78,0,159
136,401,2016-06-17,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,19,88,0,84,0,0,0,0,150,0,181
137,402,2016-06-18,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,29,0,22,0,0,0,0,16,0,163
138,403,2016-06-19,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,18,0,30,0,0,1,0,5,0,48
139,404,2016-06-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,14,0,23,0,0,0,0,2,0,94
140,405,2016-06-21,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,13,29,0,0,0,0,7,0,110
141,406,2016-06-22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,62,0,0,1,0,5,0,260
142,407,2016-06-23,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,25,78,0,0,0,0,5,0,180
143,408,2016-06-24,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,5,0,39,93,0,0,0,0,12,0,154
144,409,2016-06-25,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,3,0,37,45,0,0,1,0,6,0,118
145,410,2016-06-26,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,21,31,0,0,0,0,3,0,108
