,Unnamed: 0,Unnamed: 0_x,date,ACER,ALNUS,AMBROSIA,ARTEMISIA,BETULA,CANNABACEAE,CARPINUS,CELTIS,CHENOP/AMAR.,CORYLUS,CUPRESS/TAXA.,FAGUS,FRAXINUS,JUGLANS,MORACEAE,PINACEAE,PLANTAGO,PLATANUS,POACEAE,POPULUS,QUERCUS,RUMEX,SALIX,TILIA,ULMACEAE,URTICACEAE,Unnamed: 0.1,Unnamed: 0_y,tavg,tmin,tmax,prcp,wdir,wspd
0,0,265,2016-02-02,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7703.0,7703.0,12.1,8.0,16.9,0.0,0.0,0.0
1,1,266,2016-02-03,0,1,0,0,0,0,0,0,0,38,6,0,1,0,0,0,0,0,0,0,0,0,0,0,8,0,7704.0,7704.0,12.6,8.6,16.4,5.2,0.0,0.0
2,2,267,2016-02-04,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7705.0,7705.0,4.5,3.4,15.0,0.5,0.0,0.0
3,3,268,2016-02-05,0,2,0,0,0,0,0,0,0,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7706.0,7706.0,2.4,0.2,4.7,0.0,0.0,0.0
4,4,269,2016-02-06,0,0,0,0,0,0,0,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,7707.0,7707.0,4.4,-0.5,10.5,0.0,0.0,0.0
5,5,270,2016-02-07,3,0,0,0,0,0,0,0,0,43,0,0,5,0,0,1,0,0,0,0,0,0,0,0,10,0,7708.0,7708.0,7.4,3.0,13.4,0.0,0.0,0.0
6,6,271,2016-02-08,6,1,0,0,0,0,0,0,0,61,31,0,12,0,0,2,0,0,0,0,0,0,0,0,71,0,7709.0,7709.0,9.6,5.4,15.6,0.0,0.0,0.0
7,7,272,2016-02-09,0,2,0,0,0,0,0,0,0,14,79,0,20,0,0,0,0,0,0,1,0,0,0,0,49,0,7710.0,7710.0,14.0,9.6,19.4,0.0,0.0,0.0
8,8,273,2016-02-10,0,0,0,0,1,0,0,0,0,16,15,0,29,0,0,0,0,0,0,5,0,0,0,0,28,0,7711.0,7711.0,9.6,6.1,15.6,2.8,0.0,0.0
9,9,274,2016-02-11,0,0,0,0,7,0,0,0,0,3,19,0,20,0,0,0,0,0,0,6,0,0,1,0,15,0,7712.0,7712.0,7.0,2.9,12.6,0.0,0.0,0.0
10,10,275,2016-02-12,0,6,0,0,0,0,0,0,0,19,39,0,54,0,0,0,0,0,0,0,0,0,0,0,19,0,7713.0,7713.0,7.7,4.5,12.9,0.2,0.0,0.0
