,Unnamed: 0,date,ACER,ALNUS,AMBROSIA,ARTEMISIA,BETULA,CANNABACEAE,CARPINUS,CELTIS,CHENOP/AMAR.,CORYLUS,CUPRESS/TAXA.,FAGUS,FRAXINUS,JUGLANS,MORACEAE,PINACEAE,PLANTAGO,PLATANUS,POACEAE,POPULUS,QUERCUS,RUMEX,SALIX,TILIA,ULMACEAE,URTICACEAE
273,1263,2016-02-01,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
274,1264,2016-02-02,0,1,0,0,0,0,0,0,0,36,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
275,1265,2016-02-03,0,24,0,0,0,0,0,0,0,108,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
276,1266,2016-02-04,0,1,0,0,0,0,0,0,0,23,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
277,1267,2016-02-05,0,5,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
278,1268,2016-02-06,0,1,0,0,0,0,0,0,0,19,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
279,1269,2016-02-07,0,3,0,0,0,0,0,0,0,62,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
280,1270,2016-02-08,0,3,0,0,1,0,0,0,0,43,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
281,1271,2016-02-09,0,49,0,0,2,0,0,0,0,89,17,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0
282,1272,2016-02-10,0,16,0,0,0,0,0,0,0,49,111,0,3,0,0,0,0,0,0,1,0,0,0,0,1,0
283,1273,2016-02-11,0,14,0,0,0,0,0,0,0,7,3,0,15,0,0,0,0,0,0,1,0,0,0,0,4,0
284,1274,2016-02-12,0,26,0,0,0,0,0,0,0,26,3,0,1,0,0,0,0,0,0,1,0,0,0,0,10,0
285,1275,2016-02-13,0,10,0,0,1,0,0,0,0,10,5,0,17,0,0,0,0,0,0,1,0,0,0,0,4,0
286,1276,2016-02-14,0,104,0,0,0,0,0,0,0,74,415,0,27,0,0,0,0,0,0,12,0,0,0,0,45,0
287,1277,2016-02-15,0,40,0,0,0,0,0,0,0,27,158,0,1,0,0,0,0,0,0,3,0,0,0,0,9,0
288,1278,2016-02-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
289,1279,2016-02-17,0,112,0,0,0,0,0,0,0,22,166,0,2,0,0,0,0,0,0,21,0,0,0,0,5,0
290,1280,2016-02-18,0,32,0,0,0,0,0,0,0,5,1,0,3,0,0,0,0,0,0,2,0,0,0,0,2,0
291,1281,2016-02-19,0,9,0,0,0,0,0,0,0,1,2,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
292,1282,2016-02-20,0,17,0,0,0,0,0,0,0,7,3,0,11,0,0,0,0,0,0,3,0,0,4,0,17,0
293,1283,2016-02-21,0,5,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,2,0,0,0,0,4,0
294,1284,2016-02-22,1,3,0,0,1,0,0,0,0,2,325,0,23,0,0,0,0,0,0,8,0,0,2,0,63,0
