,Unnamed: 0,Unnamed: 0_x,date,ACER,ALNUS,AMBROSIA,ARTEMISIA,BETULA,CANNABACEAE,CARPINUS,CELTIS,CHENOP/AMAR.,CORYLUS,CUPRESS/TAXA.,FAGUS,FRAXINUS,JUGLANS,MORACEAE,PINACEAE,PLANTAGO,PLATANUS,POACEAE,POPULUS,QUERCUS,RUMEX,SALIX,TILIA,ULMACEAE,URTICACEAE,Unnamed: 0.1,Unnamed: 0_y,tavg,tmin,tmax,prcp,wdir,wspd
273,273,1263,2016-02-01,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15373.0,15373.0,7.8,4.0,11.0,0.0014760147601476,0.0,6.9
274,274,1264,2016-02-02,0,1,0,0,0,0,0,0,0,36,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15374.0,15374.0,12.6,8.4,17.0,0.0029520295202952,0.0,13.8
275,275,1265,2016-02-03,0,24,0,0,0,0,0,0,0,108,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15375.0,15375.0,11.4,6.8,15.0,0.0044280442804428,0.0,7.9
276,276,1266,2016-02-04,0,1,0,0,0,0,0,0,0,23,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,15376.0,15376.0,4.8,0.0,10.0,0.0059040590405904,0.0,17.1
277,277,1267,2016-02-05,0,5,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15377.0,15377.0,1.6,-4.0,6.0,0.007380073800738,0.0,5.4
278,278,1268,2016-02-06,0,1,0,0,0,0,0,0,0,19,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15378.0,15378.0,3.0,-3.8,8.0,0.0088560885608856,0.0,4.4
279,279,1269,2016-02-07,0,3,0,0,0,0,0,0,0,62,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,15379.0,15379.0,8.6,5.0,13.1,0.0103321033210332,0.0,38.4
280,280,1270,2016-02-08,0,3,0,0,1,0,0,0,0,43,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,15380.0,15380.0,9.9,7.0,14.0,0.0118081180811808,136.0,37.6
281,281,1271,2016-02-09,0,49,0,0,2,0,0,0,0,89,17,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,15381.0,15381.0,13.3,10.0,18.0,0.0132841328413284,141.0,32.7
282,282,1272,2016-02-10,0,16,0,0,0,0,0,0,0,49,111,0,3,0,0,0,0,0,0,1,0,0,0,0,1,0,15382.0,15382.0,9.7,5.0,13.0,0.014760147601476,160.0,30.6
283,283,1273,2016-02-11,0,14,0,0,0,0,0,0,0,7,3,0,15,0,0,0,0,0,0,1,0,0,0,0,4,0,15383.0,15383.0,6.5,2.0,12.0,0.0162361623616236,153.0,9.9
284,284,1274,2016-02-12,0,26,0,0,0,0,0,0,0,26,3,0,1,0,0,0,0,0,0,1,0,0,0,0,10,0,15384.0,15384.0,7.6,1.0,11.3,0.0177121771217712,146.0,27.1
285,285,1275,2016-02-13,0,10,0,0,1,0,0,0,0,10,5,0,17,0,0,0,0,0,0,1,0,0,0,0,4,0,15385.0,15385.0,7.5,3.0,9.0,0.0191881918819188,139.0,35.5
286,286,1276,2016-02-14,0,104,0,0,0,0,0,0,0,74,415,0,27,0,0,0,0,0,0,12,0,0,0,0,45,0,15386.0,15386.0,11.8,1.0,19.0,0.0206642066420664,138.2,22.9
287,287,1277,2016-02-15,0,40,0,0,0,0,0,0,0,27,158,0,1,0,0,0,0,0,0,3,0,0,0,0,9,0,15387.0,15387.0,15.0,11.0,21.0,0.022140221402214,137.4,28.0
288,288,1278,2016-02-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15388.0,15388.0,10.3,8.0,14.0,0.0236162361623616,136.60000000000002,11.8
289,289,1279,2016-02-17,0,112,0,0,0,0,0,0,0,22,166,0,2,0,0,0,0,0,0,21,0,0,0,0,5,0,15389.0,15389.0,12.0,8.0,15.5,0.0250922509225092,135.8,38.0
290,290,1280,2016-02-18,0,32,0,0,0,0,0,0,0,5,1,0,3,0,0,0,0,0,0,2,0,0,0,0,2,0,15390.0,15390.0,11.2,9.0,13.0,0.0265682656826568,135.0,54.8
291,291,1281,2016-02-19,0,9,0,0,0,0,0,0,0,1,2,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,15391.0,15391.0,7.4,5.0,10.0,0.0280442804428044,134.1,31.2
292,292,1282,2016-02-20,0,17,0,0,0,0,0,0,0,7,3,0,11,0,0,0,0,0,0,3,0,0,4,0,17,0,15392.0,15392.0,5.1,1.6,9.0,0.029520295202952,133.2,7.1
293,293,1283,2016-02-21,0,5,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,2,0,0,0,0,4,0,15393.0,15393.0,6.9,1.2,10.2,0.0309963099630996,132.3,8.1
