,Unnamed: 0,Unnamed: 0_x,date,ACER,ALNUS,AMBROSIA,ARTEMISIA,BETULA,CANNABACEAE,CARPINUS,CELTIS,CHENOP/AMAR.,CORYLUS,CUPRESS/TAXA.,FAGUS,FRAXINUS,JUGLANS,MORACEAE,PINACEAE,PLANTAGO,PLATANUS,POACEAE,POPULUS,QUERCUS,RUMEX,SALIX,TILIA,ULMACEAE,URTICACEAE,Unnamed: 0.1,Unnamed: 0_y,tavg,tmin,tmax,prcp,wdir,wspd
819,819,2728,2016-02-01,0,0,0,0,0,0,0,0,0,5,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,,,,,,0.807380073800738,222.1149635036496,5.0777777777777775
820,820,2729,2016-02-02,0,0,0,0,0,0,0,0,0,5,2,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,,,,,,0.8088560885608855,222.43795620437956,5.072222222222223
821,821,2730,2016-02-03,0,0,0,0,0,0,0,0,0,9,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0.8103321033210332,222.7609489051095,5.066666666666666
822,822,2731,2016-02-04,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0.8118081180811808,223.0839416058394,5.061111111111111
823,823,2732,2016-02-05,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0.8132841328413284,223.40693430656933,5.055555555555555
824,824,2733,2016-02-06,0,0,0,0,0,0,0,0,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0.814760147601476,223.72992700729927,5.050000000000001
825,825,2734,2016-02-07,0,0,0,0,0,0,0,0,0,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0.8162361623616236,224.0529197080292,5.044444444444444
826,826,2735,2016-02-08,1,0,0,0,1,0,0,0,0,21,21,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,,,,,,0.8177121771217712,224.37591240875912,5.038888888888889
827,827,2736,2016-02-09,1,0,0,0,2,0,0,0,0,14,15,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,,,,,,0.8191881918819188,224.69890510948903,5.033333333333333
828,828,2737,2016-02-10,0,1,0,0,2,0,0,0,0,8,12,0,1,0,0,0,0,0,0,0,0,0,0,0,6,0,,,,,,0.8206642066420664,225.02189781021897,5.027777777777778
829,829,2738,2016-02-11,0,1,0,0,0,0,0,0,0,2,1,0,1,0,0,0,0,0,0,1,0,0,0,0,2,0,,,,,,0.822140221402214,225.3448905109489,5.022222222222222
830,830,2739,2016-02-12,0,1,0,0,0,0,0,0,0,2,1,0,2,0,0,0,0,0,0,1,0,0,0,0,3,0,,,,,,0.8236162361623616,225.66788321167883,5.016666666666667
831,831,2740,2016-02-13,1,2,0,0,0,0,0,0,0,14,2,0,34,0,0,0,0,0,0,9,0,0,0,0,14,0,,,,,,0.8250922509225092,225.99087591240877,5.011111111111111
832,832,2741,2016-02-14,2,4,0,0,0,0,0,0,0,12,68,0,39,0,0,0,0,0,0,15,0,0,0,0,35,0,,,,,,0.8265682656826568,226.3138686131387,5.005555555555556
833,833,2742,2016-02-15,1,0,0,0,1,0,0,0,0,21,21,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,,,,,,0.8280442804428044,226.63686131386865,5.0
834,834,2743,2016-02-16,1,0,0,0,2,0,0,0,0,14,15,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,,,,,,0.829520295202952,226.9598540145985,4.9944444444444445
835,835,2744,2016-02-17,0,1,0,0,2,0,0,0,0,8,12,0,1,0,0,0,0,0,0,0,0,0,0,0,6,0,,,,,,0.8309963099630996,227.2828467153285,4.988888888888889
836,836,2745,2016-02-18,0,1,0,0,0,0,0,0,0,2,1,0,1,0,0,0,0,0,0,1,0,0,0,0,2,0,,,,,,0.8324723247232472,227.6058394160584,4.983333333333333
837,837,2746,2016-02-19,0,1,0,0,0,0,0,0,0,2,1,0,2,0,0,0,0,0,0,1,0,0,0,0,3,0,,,,,,0.8339483394833949,227.9288321167883,4.977777777777778
838,838,2747,2016-02-20,1,2,0,0,0,0,0,0,0,14,2,0,34,0,0,0,0,0,0,9,0,0,0,0,14,0,,,,,,0.8354243542435424,228.25182481751824,4.972222222222222
839,839,2748,2016-02-21,2,4,0,0,0,0,0,0,0,12,68,0,39,0,0,0,0,0,0,15,0,0,0,0,35,0,,,,,,0.83690036900369,228.57481751824815,4.966666666666667
840,840,2749,2016-02-22,2,4,0,0,1,0,7,0,0,2,478,0,7,0,0,0,0,0,0,109,0,0,1,0,87,0,,,,,,0.8383763837638376,228.8978102189781,4.961111111111111
841,841,2750,2016-02-23,2,2,0,0,1,0,1,0,0,2,298,0,11,0,0,0,0,0,0,28,0,0,3,0,18,0,,,,,,0.8398523985239852,229.220802919708,4.955555555555556
842,842,2751,2016-02-24,1,1,0,0,0,0,2,0,0,0,144,0,18,0,0,0,0,0,0,29,0,0,1,0,24,0,,,,,,0.8413284132841328,229.54379562043795,4.95
843,843,2752,2016-02-25,1,1,0,0,0,0,1,0,0,0,8,0,8,0,0,0,0,0,0,7,0,0,2,0,2,0,,,,,,0.8428044280442805,229.8667883211679,4.944444444444445
844,844,2753,2016-02-26,3,2,0,0,0,0,1,0,0,1,14,0,7,0,0,0,0,0,0,7,0,0,2,0,3,0,,,,,,0.844280442804428,230.18978102189783,4.938888888888889
845,845,2754,2016-02-27,8,1,0,0,0,0,0,0,0,1,5,0,1,0,0,0,0,0,0,69,0,0,1,0,68,0,,,,,,0.8457564575645756,230.5127737226277,4.933333333333334
