,0,1,2
0,0.0,0.0,0.0
1,0.0,0.0,0.0
2,0.0,0.0,0.0
3,0.0,0.0,0.0
4,0.0,0.0,0.0
5,0.0,0.0,0.0
6,0.0,0.0,0.0
7,0.0,0.0,0.0
8,0.0,0.0,0.0
9,0.0,0.0,0.0
10,0.0,0.0,0.0
11,0.0,0.0,0.0
12,0.0,0.0,0.0
13,0.0,0.0,0.0
14,0.0,0.0,0.0
15,0.0,0.0,0.0
16,0.0,0.0,0.0
17,0.0,0.0,0.0
18,0.0,0.0,0.0
19,0.0,0.0,0.0
20,0.0,0.0,0.0
21,0.0,0.0,0.0
22,0.0,0.0,0.0
23,0.0,0.0,0.0
24,0.0,0.0,0.0
25,0.0,0.0,0.0
26,0.0,0.0,0.0
27,0.0,0.0,0.0
28,0.0,0.0,0.0
29,0.0,0.0,0.0
30,0.0,0.0,0.0
31,0.0,0.0,0.0
32,0.0,0.0,0.0
33,0.0,0.0,0.0
34,0.0,0.0,0.0
35,0.0,0.0,0.0
36,0.0,0.0,0.0
37,0.0,0.0,0.0
38,0.0,0.0,0.0
39,0.0,0.0,0.0
40,0.0,0.0,0.0
41,0.0,0.0,0.0
42,0.0,0.0,0.0
43,0.0,0.0,0.0
44,0.0,0.0,0.0
45,0.0,0.0,0.0
46,0.0,0.0,0.0
47,0.0,0.0,0.0
48,0.0,0.0,0.0
49,0.0,0.0,0.0
50,0.0,0.0,0.0
51,0.0,0.0,0.0
52,0.0,0.0,0.0
53,0.0,0.0,0.0
54,0.0,0.0,0.0
55,0.0,0.0,0.0
56,0.0,0.0,0.0
57,0.0,0.0,0.0
58,0.0,0.0,0.0
59,0.0,0.0,0.0
60,0.0,0.0,0.0
61,0.0,0.0,0.0
62,0.0,0.0,0.0
63,0.0,0.0,0.0
64,0.0,0.0,0.0
65,0.0,0.0,0.0
66,0.0,0.0,0.0
67,0.0,0.0,0.0
68,0.0,0.0,0.0
69,0.0,0.0,0.0
70,0.0,0.0,0.0
71,0.0,0.0,0.0
72,0.0,0.0,0.0
73,0.0,0.0,0.0
74,0.0,0.0,0.0
75,0.0,0.0,0.0
76,0.0,0.0,0.0
77,0.0,0.0,0.0
78,0.0,0.0,0.0
79,0.0,0.0,0.0
80,0.0,0.0,0.0
81,0.0,0.0,0.0
82,0.0,0.0,0.0
83,0.0,0.0,0.0
84,0.0,0.0,0.0
85,0.0,0.0,0.0
86,0.0,0.0,0.0
87,0.0,0.0,0.0
88,0.0,0.0,0.0
89,0.0,0.0,0.0
90,0.0,0.0,0.0
91,0.0,0.0,0.0
92,0.0,0.0,0.0
93,0.0,0.0,0.0
94,0.0,0.0,0.0
95,0.0,0.0,0.0
96,0.0,0.0,0.0
97,0.0,0.0,0.0
98,0.0,0.0,0.0
99,0.0,0.0,0.0
100,0.0,0.0,0.0
101,0.0,0.0,0.0
102,0.0,0.0,0.0
103,0.0,0.0,0.0
104,0.0,0.0,1.0
105,0.0,1.0,0.0
106,1.0,0.0,0.0
107,0.0,0.0,0.0
108,0.0,0.0,0.0
109,0.0,0.0,0.0
110,0.0,0.0,0.0
111,0.0,0.0,0.0
112,0.0,0.0,0.0
113,0.0,0.0,0.0
114,0.0,0.0,0.0
115,0.0,0.0,0.0
116,0.0,0.0,0.0
117,0.0,0.0,0.0
118,0.0,0.0,1.0
119,0.0,1.0,0.0
120,1.0,0.0,0.0
121,0.0,0.0,0.0
122,0.0,0.0,0.0
123,0.0,0.0,0.0
124,0.0,0.0,0.0
125,0.0,0.0,0.0
126,0.0,0.0,0.0
127,0.0,0.0,0.0
128,0.0,0.0,0.0
129,0.0,0.0,1.0
130,0.0,1.0,1.0
131,1.0,1.0,2.0
132,1.0,2.0,4.0
133,2.0,4.0,4.0
134,4.0,4.0,2.0
135,4.0,2.0,4.0
136,2.0,4.0,10.0
137,4.0,10.0,20.0
138,10.0,20.0,23.0
139,20.0,23.0,14.0
140,23.0,14.0,8.0
141,14.0,8.0,12.0
142,8.0,12.0,24.0
143,12.0,24.0,18.0
144,24.0,18.0,10.0
145,18.0,10.0,5.0
146,10.0,5.0,55.0
147,5.0,55.0,48.0
148,55.0,48.0,52.0
149,48.0,52.0,14.0
150,52.0,14.0,28.0
151,14.0,28.0,32.0
152,28.0,32.0,15.0
153,32.0,15.0,25.0
154,15.0,25.0,68.0
155,25.0,68.0,50.0
156,68.0,50.0,64.0
157,50.0,64.0,68.0
158,64.0,68.0,52.0
159,68.0,52.0,45.0
160,52.0,45.0,55.0
161,45.0,55.0,78.0
162,55.0,78.0,50.0
163,78.0,50.0,68.0
164,50.0,68.0,208.0
165,68.0,208.0,152.0
166,208.0,152.0,95.0
167,152.0,95.0,105.0
168,95.0,105.0,118.0
169,105.0,118.0,250.0
170,118.0,250.0,318.0
171,250.0,318.0,148.0
172,318.0,148.0,168.0
173,148.0,168.0,95.0
174,168.0,95.0,108.0
175,95.0,108.0,118.0
176,108.0,118.0,86.0
177,118.0,86.0,102.0
178,86.0,102.0,18.0
179,102.0,18.0,13.0
180,18.0,13.0,59.0
181,13.0,59.0,264.0
182,59.0,264.0,89.0
183,264.0,89.0,104.0
184,89.0,104.0,235.0
185,104.0,235.0,243.0
186,235.0,243.0,158.0
187,243.0,158.0,98.0
188,158.0,98.0,103.0
189,98.0,103.0,87.0
190,103.0,87.0,58.0
191,87.0,58.0,77.0
192,58.0,77.0,29.0
193,77.0,29.0,27.0
194,29.0,27.0,24.0
195,27.0,24.0,18.0
196,24.0,18.0,15.0
197,18.0,15.0,11.0
198,15.0,11.0,10.0
199,11.0,10.0,27.0
200,10.0,27.0,16.0
201,27.0,16.0,7.0
202,16.0,7.0,8.0
203,7.0,8.0,13.0
204,8.0,13.0,38.0
205,13.0,38.0,18.0
206,38.0,18.0,5.0
207,18.0,5.0,3.0
