,Unnamed: 0,Unnamed: 0_x,date,ACER,ALNUS,AMBROSIA,ARTEMISIA,BETULA,CANNABACEAE,CARPINUS,CELTIS,CHENOP/AMAR.,CORYLUS,CUPRESS/TAXA.,FAGUS,FRAXINUS,JUGLANS,MORACEAE,PINACEAE,PLANTAGO,PLATANUS,POACEAE,POPULUS,QUERCUS,RUMEX,SALIX,TILIA,ULMACEAE,URTICACEAE,Unnamed: 0.1,Unnamed: 0_y,tavg,tmin,tmax,prcp,wdir,wspd
541,1085,3783,2016-02-01,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5145.0,5145.0,9.3,5.5,15.3,1.2,308.0310218978102,3.6
542,1086,3784,2016-02-02,0,1,0,0,0,0,0,0,0,101,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5146.0,5146.0,9.7,2.9,18.6,0.0,308.3540145985402,3.9
543,1087,3785,2016-02-03,0,3,0,0,0,0,0,0,0,268,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5147.0,5147.0,12.8,4.0,21.0,0.0,308.67700729927003,6.9
544,1088,3786,2016-02-04,0,1,0,0,0,0,0,0,0,10,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5148.0,5148.0,5.9,2.6,15.3,0.5,309.0,17.1
545,1089,3787,2016-02-05,0,3,0,0,0,0,0,0,0,33,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5149.0,5149.0,2.7,0.9,5.8,0.0,322.0,22.9
546,1090,3788,2016-02-06,0,1,0,0,0,0,0,0,0,16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5150.0,5150.0,3.6,0.5,8.6,0.0,235.0,6.1
547,1091,3789,2016-02-07,0,0,0,0,0,0,0,0,0,41,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5151.0,5151.0,4.9,-2.6,14.6,0.0,148.0,8.5
548,1092,3790,2016-02-08,0,1,0,0,0,0,0,0,0,24,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5152.0,5152.0,7.6,2.6,14.0,0.0,131.0,10.1
549,1093,3791,2016-02-09,0,0,0,0,1,0,0,0,0,45,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,5153.0,5153.0,9.9,3.9,17.1,0.0,141.0,9.3
550,1094,3792,2016-02-10,0,0,0,0,10,0,0,0,0,22,8,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,5154.0,5154.0,10.4,4.8,17.3,3.2,168.0,15.5
551,1095,3793,2016-02-11,0,0,0,0,1,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5155.0,5155.0,5.5,1.7,8.3,0.6,170.4,6.3
